,LANDING_YEAR,LANDED_WEIGHT_MTONS
,1981,0.01134
,1983,0.000907
,1984,1.392236
,1985,1.560754
,1986,4.568666
,1987,6.200289
,1988,10.055915
,1989,0.672222
,1990,0.649584
,1991,1.449008
,1992,1.113335
,1993,8.114382
,1994,6.233834
,1995,6.756517
,1996,6.414661
,1997,3.833964
,1998,3.07081
,1999,1.349166
,2000,1.139143
,2001,1.065393
,2002,1.133818
,2003,1.143281
,2004,0.947137
,2005,0.831889
,2006,0.712141
,2007,0.460395
,2008,0.501041
,2009,1.06909
,2010,1.016955
,2011,0.720319
,2012,0.739351
,2013,1.211813
,2014,0.76712
,2015,0.941996
,2016,0.776496
,2017,1.342174
,2018,0.818539
,2019,0.911905
,2020,0.815525
,2021,0.983644
,2022,0.849234
