,YEAR,MODE,CATCH.MT,,YEAR,MODE,CATCH.MT
,1928,PC,0.03348145913,,1928,PR,0.05115880807
,1929,PC,0.06689353768,,1929,PR,0.1022055599
,1930,PC,0.07927440523,,1930,PR,0.1192628132
,1931,PC,0.1056790451,,1931,PR,0.1589918869
,1932,PC,0.1320921351,,1932,PR,0.1987125105
,1933,PC,0.1584794299,,1933,PR,0.2384135701
,1934,PC,0.1848925199,,1934,PR,0.2781341937
,1935,PC,0.2112971598,,1935,PR,0.3178632674
,1936,PC,0.2342794772,,1936,PR,0.35498189
,1937,PC,0.2647986238,,1937,PR,0.4278363602
,1938,PC,0.2753894568,,1938,PR,0.418334148
,1939,PC,0.2441843226,,1939,PR,0.3659422766
,1940,PC,0.3246586884,,1940,PR,0.5092702036
,1941,PC,0.300064453,,1941,PR,0.4706790734
,1942,PC,0.15942617,,1942,PR,0.2500766876
,1943,PC,0.1524657748,,1943,PR,0.239165558
,1944,PC,0.125199198,,1944,PR,0.19639753
,1945,PC,0.1669135725,,1945,PR,0.2618215859
,1946,PC,0.2872216757,,1946,PR,0.4505457123
,1947,PC,0.3992777796,,1947,PR,0.4019924884
,1948,PC,0.7951727892,,1948,PR,0.8250578348
,1949,PC,1.001347242,,1949,PR,1.063721056
,1950,PC,1.369847999,,1950,PR,1.293871021
,1951,PC,1.325002495,,1951,PR,1.794122893
,1952,PC,1.382979224,,1952,PR,1.631956081
,1953,PC,1.65372586,,1953,PR,1.465444887
,1954,PC,2.917411472,,1954,PR,2.097002729
,1955,PC,5.074615285,,1955,PR,2.851179168
,1956,PC,6.07824275,,1956,PR,3.236903999
,1957,PC,3.943122517,,1957,PR,2.664941816
,1958,PC,4.859844814,,1958,PR,3.664237486
,1959,PC,3.124161155,,1959,PR,2.938867031
,1960,PC,2.922059891,,1960,PR,2.350493517
,1961,PC,3.281640874,,1961,PR,1.892437711
,1962,PC,2.497254193,,1962,PR,2.20064351
,1963,PC,2.674870975,,1963,PR,2.346483183
,1964,PC,4.448234284,,1964,PR,2.149215997
,1965,PC,4.70345651,,1965,PR,3.724509646
,1966,PC,11.76182262,,1966,PR,5.17421404
,1967,PC,10.35778636,,1967,PR,6.421035317
,1968,PC,11.41872097,,1968,PR,7.567869045
,1969,PC,6.792209627,,1969,PR,7.712846068
,1970,PC,9.200119621,,1970,PR,10.75071627
,1971,PC,8.045572413,,1971,PR,10.17199772
,1972,PC,9.767694854,,1972,PR,13.72392554
,1973,PC,10.79137169,,1973,PR,16.80053895
,1974,PC,13.61411669,,1974,PR,19.99532686
,1975,PC,14.05477319,,1975,PR,20.23142962
,1976,PC,10.97947323,,1976,PR,17.99698163
,1977,PC,9.470713074,,1977,PR,16.93065464
,1978,PC,8.373652111,,1978,PR,16.30247844
,1979,PC,9.784676165,,1979,PR,21.85005461
,1980,PC,12.080309,,1980,PR_plus,31.171038
,1981,PC,5.982572,,1981,PR_plus,20.966531
,1982,PC,2.528856,,1982,PR_plus,5.997429
,1983,PC,8.213351,,1983,PR_plus,25.535
,1984,PC,5.815261,,1984,PR_plus,38.44819
,1985,PC,9.05609,,1985,PR_plus,25.27163
,1986,PC,6.570258,,1986,PR_plus,21.587453
,1987,PC,0.56071,,1987,PR_plus,11.933108
,1988,PC,1.613666,,1988,PR_plus,10.126351
,1989,PC,1.184223,,1989,PR_plus,15.752442
,1990,PC,9.7216395,,1990,PR_plus,9.7216395
,1991,PC,13.797724,,1991,PR_plus,13.797724
,1992,PC,17.8738085,,1992,PR_plus,17.8738085
,1993,PC,6.101151,,1993,PR_plus,15.848742
,1994,PC,9.120483,,1994,PR_plus,18.453474
,1995,PC,0.731474,,1995,PR_plus,21.09044
,1996,PC,4.433329,,1996,PR_plus,7.731435
,1997,PC,2.245125,,1997,PR_plus,10.302473
,1998,PC,2.252828,,1998,PR_plus,2.685637
,1999,PC,1.778938,,1999,PR_plus,6.297847
,2000,PC,1.82234,,2000,PR_plus,5.244368
,2001,PC,5.857135,,2001,PR_plus,2.204697
,2002,PC,1.168881,,2002,PR_plus,20.208969
,2003,PC,4.154763,,2003,PR_plus,18.510363
,2004,PC,2.581593,,2004,PR_plus,1.677037
,2005,PC,3.621573,,2005,PR/bb/manmade,2.667027
,2006,PC,1.934528,,2006,PR/bb/manmade,3.561286
,2007,PC,2.381359,,2007,PR/bb/manmade,5.525291
,2008,PC,2.270214,,2008,PR/bb/manmade,2.725581
,2009,PC,1.730752,,2009,PR/bb/manmade,2.5719508
,2010,PC,2.070303,,2010,PR/bb/manmade,4.272699
,2011,PC,10.057703,,2011,PR/bb/manmade,7.570201
,2012,PC,9.609672,,2012,PR/bb/manmade,6.784197
,2013,PC,6.866333,,2013,PR/bb/manmade,12.33238
,2014,PC,7.327771,,2014,PR/bb/manmade,7.087539
,2015,PC,6.183557,,2015,PR/bb/manmade,6.260178
,2016,PC,6.854328,,2016,PR/bb/manmade,5.650948
,2017,PC,6.7005141,,2017,PR/bb/manmade,8.376614
,2018,PC,2.4912487,,2018,PR/bb/manmade,3.144138
,2019,PC,1.491553,,2019,PR/bb/manmade,2.503598
,2020,PC,0.22875,,2020,PR/bb/manmade,0.535378
,2021,PC,0.75244,,2021,PR/bb/manmade,2.551045
,2022,PC,1.50997,,2022,PR/bb/manmade,4.388419
