"","classcode","common_name","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id"
"1","AARG","Barred Surfperch","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Amphistichus","argenteus","Amphistichus argenteus","WoRMS","279594"
"4","ACOR","Coralline Sculpin","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","corallinus","Artedius corallinus","WoRMS","279699"
"8","ADAV","Sargo","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","davidsonii","Anisotremus davidsonii","WoRMS","279617"
"12","AFLA","Tubesnout","Animalia","Chordata","Actinopterygii","Gasterosteiformes","Aulorhynchidae","Aulorhynchus","flavidus","Aulorhynchus flavidus","WoRMS","279839"
"16","AGUA","Guadalupe Cardinalfish","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogon","guadalupensis","Apogon guadalupensis","WoRMS","273016"
"18","AHAR","Scaleyhead Sculpin","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","harringtoni","Artedius harringtoni","WoRMS","279701"
"19","AHEX","Sandlance","Animalia","Chordata","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","hexapterus","Ammodytes hexapterus","WoRMS","254510"
"20","AHOL","Island Kelpfish","Animalia","Chordata","Actinopterygii","Perciformes","Labrisomidae","Alloclinus","holderi","Alloclinus holderi","WoRMS","279560"
"24","AINE","Smooth Alligatorfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","Anoplagonus","inermis","Anoplagonus inermis","WoRMS","279630"
"26","ANOB","White Seabass","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Atractoscion","nobilis","Atractoscion nobilis","WoRMS","278535"
"29","AOCE","Wolf Eel","Animalia","Chordata","Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys","ocellatus","Anarrhichthys ocellatus","WoRMS","279605"
"32","APFL","Penpiont Gunnel","Animalia","Chordata","Actinopterygii","Perciformes","Pholidae","Apodichthys","flavidus","Apodichthys flavidus","WoRMS","279664"
"33","ATHE","Grunion, Topsmelt Or Jacksmelt","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinopsidae","spp","Atherinopsidae","WoRMS","266995"
"37","AVUL","Thresher Shark","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias","vulpinus","Alopias vulpinus","WoRMS","105836"
"40","BAITBALL","Bait, Sardines/Anchovies","Animalia","Chordata","Actinopterygii","Clupeiformes",NA,NA,NA,"Clupeiformes","WoRMS","10297"
"43","BATH","Ronquils","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Bathymasteridae","spp","Bathymasteridae","WoRMS","151388"
"46","BFRE","Kelp Surfperch","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Brachyistius","frenatus","Brachyistius frenatus","WoRMS","240721"
"50","BLEN","Blennies","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae","Blenniidae","spp","Blenniidae","WoRMS","125519"
"52","BOTH","Lefteyed Flounders","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Bothidae","Bothidae","spp","Bothidae","WoRMS","125576"
"55","BPOL","Finescale Triggerfish","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistes","polylepis","Balistes polylepis","WoRMS","275234"
"58","BRAY","Bat Ray","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","californica","Myliobatis californica","WoRMS","271485"
"62","CAGG","Shiner Surfperch","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","aggregata","Cymatogaster aggregata","WoRMS","280461"
"66","CANA","Wooly Sculpin","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Clinocottus","analis","Clinocottus analis","WoRMS","280219"
"67","CGIG","Giant Wrymouth","Animalia","Chordata","Actinopterygii","Perciformes","Cryptacanthodidae","Cryptacanthodes","giganteus","Cryptacanthodes giganteus","WoRMS","276392"
